ID,RECEIVE_NO,VENDOR_CODE,VENDOR_NAME,INVOICE_NO,INVOICE_DATE,INVOICE_AMOUNT,GL_ACCOUNT,GL_DESC,COST_CENTER,AMOUNT,JURISDICTION,COMMENT,Text,PO_NO,Class
1,202305001635,T320-00,"Samsung SDS America, Inc",C510175689,5/16/2023,6535.51,54130501.0,IT Exp-Facility Fee,C3205002,6502.22,0508530700,STORAGE DR SITE (R&amp;D),2023 Blanket PO – Storage DR Site at SDSA Colocation,2210274841.0, IT Facility | Data Center Fees | Co-location Fees
2,202305001635,T320-00,"Samsung SDS America, Inc",C510175689,5/16/2023,6535.51,54130501.0,IT Exp-Facility Fee,C320Z001,33.29,0503725700,STORAGE DR SITE (R&amp;D),Oak DR SITE COLOCATION R&D (5/1-5/31/23),, IT Facility | Data Center Fees | Co-location Fees
3,202305001632,T320-00,"Samsung SDS America, Inc",C510175688,5/16/2023,4560.44,54130501.0,IT Exp-Facility Fee,C320Z002,4560.44,0508530700,STORAGE DR SITE (S&amp;M),2023 Blanket PO – Storage DR Site at SDSA Colocation,2210274841.0, IT Facility | Data Center Fees | Co-location Fees
4,202305001629,T320-00,"Samsung SDS America, Inc",C510175687,5/16/2023,3018.75,54130501.0,IT Exp-Facility Fee,C320Z002,3018.75,0508530700,EDI,2023 Blanket PO - Monthly SDSA EDI Fees,2210274411.0, IT Facility | Data Center Fees | Co-location Fees
5,202305001618,T320-00,"Samsung SDS America, Inc",C510175662,5/16/2023,105949.76,54130303.0,IT Exp-SI/Labor Cost,C3205052,105949.76,0508530700,,2023 Blanket PO - SDSA Service for MSL Lab,2210274538.0, IT Labor | IT Staffing and Labor | IT Contractor Fees
6,202305001615,T320-00,"Samsung SDS America, Inc",C510175660,5/16/2023,125929.3,54130303.0,IT Exp-SI/Labor Cost,C3205011,121843.37,0508530700,,2023 Blanket PO - TED Lab Support Service [01.01.23 - 12.31.23],2210274510.0, IT Labor | IT Staffing and Labor | IT Contractor Fees
12,202305001518,FBWOLR,ALEJANDRO DAVID COLORADO LOZANO,15,5/6/2023,7260.0,53752517.0,Comm&SVC - Consulting,C3200271,7260.0,0508530700,,Presentation design and UI/UX design,, Consulting | Professional Services | Consulting Services | IT Consulting
13,202305001454,FZXFD3,ADVANTAGE GRAFIX,47589,5/12/2023,213.28,53830100.0,Membership/Printing/Subscription,C3200295,18.28,0508530700,,Sales Tax,, Sales Promotion - Exhibit & Other | Sales Collateral and Merchandise | Brochures and Flyers Printing
14,202305001454,FZXFD3,ADVANTAGE GRAFIX,47589,5/12/2023,213.28,53830100.0,Membership/Printing/Subscription,C3200295,195.0,0508530700,,"Full color 24""x36"" poster",, Sales Promotion - Exhibit & Other | Sales Collateral and Merchandise | Brochures and Flyers Printing
15,202305001407,FA1RZ1,CENTRAL COMPUTERS INC.,1487430,5/1/2023,191.5,21070199.0,Sales Tax (US only),C3200368,15.8,0503725700,,"Add Use Tax Accr Cedar Park, TX 8.25%",, IT Facility | IT Maintenance and Support Fees | Hardware Maintenance and Support Fees
16,202305001360,FBWTK4,"REBOOT ACCEL, INC.",1364,4/3/2023,7500.0,53752509.0,,C3200295,7500.0,0508530700,,Women's FLASH Leadership program,, Welfare - Others | Employee Education and Training | Professional Development Programs
17,202305001352,FZXEZK,DELL MARKETING LP,10671217379,5/11/2023,4058.4,21070199.0,Sales Tax (US only),C3205002,225.18,0508530700,confirm,"Add Use Tax Accr San Jose, CA 9.375%",, Sales Promotion - Exhibit & Other | Channel Partner Programs | Joint Marketing Campaigns
20,202305001234,FA3GDG,"AMAZON WEB SERVICES, INC.",AWS01262S0423A,5/8/2023,3008.66,54371301.0,Ordinary Research & Development Exp - Technical Consulting,C3205027,2016.06,0508530700,,2023 Blanket PO - AWS for IP Group,2210274323.0, Research & Development - Technical Consulting | Technical Consulting Services | Intellectual Property (IP) Strategy Consulting
