Texonomy Level 1,Texonomy Level 2,Texonomy Level 3,Texonomy Level 4,Texonomy Level 5
Legal/Patent,Legal Services,Intellectual Property (IP) Services,Patent Services,
Legal/Patent,Legal Services,Intellectual Property (IP) Services,Trademark Services,
Legal/Patent,Legal Services,Intellectual Property (IP) Services,Copyright Services,
Legal/Patent,Legal Services,Intellectual Property (IP) Services,Trade Secret Protection Services,
Legal/Patent,Patent Research and Analysis,,,
Legal/Patent,Patent Maintenance Fees,,,
Legal/Patent,Patent Translation and Transcription Services,,,
Legal/Patent,Patent Software and Tools,,,
Material,Raw Materials,Metals and Alloys,,
Material,Raw Materials,Plastics and Polymers,,
Material,Raw Materials,Fabrics and Textiles,,
Material,Raw Materials,Wood and Timber,,
Material,Raw Materials,Glass and Ceramics,,
Material,Raw Materials,Chemicals and Solvents,,
Material,Raw Materials,Electrical Components,,
Material,Raw Materials,Packaging Materials,,
Material,Raw Materials,Other Raw Materials,,
Material,Components and Parts,Mechanical Components,,
Material,Components and Parts,Electrical Components,,
Material,Components and Parts,Electronic Components,,
Material,Components and Parts,Pneumatic and Hydraulic Components,,
Material,Components and Parts,Fasteners and Hardware,,
Material,Components and Parts,Bearings and Seals,,
Material,Components and Parts,Other Components and Parts,,
Material,Equipment and Machinery,Manufacturing Machinery,,
Material,Equipment and Machinery,Processing Equipment,,
Material,Equipment and Machinery,Testing and Measurement Equipment,,
Material,Equipment and Machinery,Tools and Tooling Equipment,,
Material,Equipment and Machinery,Maintenance and Repair Equipment,,
Material,Equipment and Machinery,Safety Equipment,,
Material,Equipment and Machinery,Other Equipment and Machinery,,
Material,Safety and Personal Protective Equipment (PPE),Protective Clothing,,
Material,Safety and Personal Protective Equipment (PPE),Head Protection,,
Material,Safety and Personal Protective Equipment (PPE),Eye and Face Protection,,
Material,Safety and Personal Protective Equipment (PPE),Hand and Arm Protection,,
Material,Safety and Personal Protective Equipment (PPE),Foot and Leg Protection,,
Material,Safety and Personal Protective Equipment (PPE),Respiratory Protection,,
Material,Safety and Personal Protective Equipment (PPE),Hearing Protection,,
Material,Safety and Personal Protective Equipment (PPE),Fall Protection,,
Material,Safety and Personal Protective Equipment (PPE),Other Safety and PPE Equipment,,
Delivery,Delivery Services,Courier Services,,
Delivery,Delivery Services,Shipping Services,,
Delivery,Delivery Services,Freight Services,,
Delivery,Delivery Services,International Delivery Services,,
Delivery,Delivery Services,Warehousing and Fulfillment Services,,
Delivery,Outsourced Services,Third-Party Logistics (3PL) Services,,
Delivery,Outsourced Services,Delivery Fleet Outsourcing,,
Delivery,Outsourced Services,Inventory Management Services,,
Delivery,Outsourced Services,Route Optimization Services,,
Delivery,Outsourced Services,Order Tracking and Management Services,,
Delivery,Outsourced Services,Reverse Logistics Services,,
Delivery,Outsourced Services,Packaging and Labeling Services,,
Delivery,Outsourced Services,Customer Support for Delivery Services,,
Delivery,Outsourced Services,Delivery Technology and Software Services,,
Delivery,Outsourced Services,Customs Clearance and Import/Export Services,,
Delivery,Shipping Supplies and Materials,"Packaging Materials (e.g., boxes, tape, bubble wrap)",,
Delivery,Shipping Supplies and Materials,Shipping Labels and Stickers,,
Delivery,Shipping Supplies and Materials,"Shipping Equipment (e.g., scales, thermal printers)",,
Delivery,Returns and Exchanges,Return Shipping Costs,,
Delivery,Returns and Exchanges,Restocking Fees,,
Consulting,Professional Services,Consulting Services,Management Consulting,
Consulting,Professional Services,Consulting Services,Financial Consulting,
Consulting,Professional Services,Consulting Services,IT Consulting,
Consulting,Professional Services,Consulting Services,Human Resources Consulting,
Consulting,Professional Services,Consulting Services,Marketing Consulting,
Cleaning,Cleaning Services,Office Cleaning Services,,
Cleaning,Cleaning Services,Commercial Cleaning Services,,
Cleaning,Cleaning Services,Janitorial Services,,
Cleaning,Cleaning Services,Industrial Cleaning Services,,
Cleaning,Cleaning Services,Floor Cleaning and Maintenance Services,,
Cleaning,Cleaning Services,Carpet Cleaning Services,,
Cleaning,Cleaning Services,Window Cleaning Services,,
Cleaning,Cleaning Services,Exterior Building Cleaning Services,,
Cleaning,Cleaning Services,Specialized Cleaning Services,,
Cleaning,Cleaning Supplies and Equipment,Cleaning Chemicals and Detergents,,
Cleaning,Cleaning Supplies and Equipment,Cleaning Tools and Equipment,,
Cleaning,Cleaning Supplies and Equipment,Trash Bags and Liners,,
Cleaning,Cleaning Supplies and Equipment,"Paper Products (towels, tissues, toilet paper)",,
Cleaning,Cleaning Supplies and Equipment,Cleaning Carts and Trolleys,,
